#Duplication rate	Coverage
1.0	2716.0
2.0	2203.0
3.0	1716.0
4.0	1443.0
5.0	1199.0
6.0	1031.0
7.0	882.0
8.0	753.0
9.0	666.0
10.0	663.0
11.0	563.0
12.0	472.0
13.0	443.0
14.0	445.0
15.0	414.0
16.0	409.0
17.0	352.0
18.0	327.0
19.0	291.0
20.0	315.0
21.0	267.0
22.0	276.0
23.0	245.0
24.0	232.0
25.0	238.0
26.0	216.0
27.0	195.0
28.0	198.0
29.0	205.0
30.0	189.0
31.0	188.0
32.0	178.0
33.0	183.0
34.0	153.0
35.0	143.0
36.0	130.0
37.0	142.0
38.0	137.0
39.0	138.0
40.0	158.0
41.0	142.0
42.0	133.0
43.0	119.0
44.0	111.0
45.0	111.0
46.0	113.0
47.0	96.0
48.0	89.0
49.0	111.0
50.0	5198.0
