#Duplication rate	Coverage
1.0	3547.0
2.0	2403.0
3.0	1650.0
4.0	1308.0
5.0	1109.0
6.0	900.0
7.0	800.0
8.0	671.0
9.0	593.0
10.0	600.0
11.0	551.0
12.0	467.0
13.0	422.0
14.0	394.0
15.0	355.0
16.0	359.0
17.0	342.0
18.0	300.0
19.0	264.0
20.0	239.0
21.0	253.0
22.0	254.0
23.0	218.0
24.0	193.0
25.0	172.0
26.0	171.0
27.0	189.0
28.0	139.0
29.0	164.0
30.0	160.0
31.0	145.0
32.0	163.0
33.0	145.0
34.0	118.0
35.0	113.0
36.0	121.0
37.0	137.0
38.0	112.0
39.0	104.0
40.0	110.0
41.0	84.0
42.0	87.0
43.0	65.0
44.0	90.0
45.0	80.0
46.0	80.0
47.0	68.0
48.0	63.0
49.0	65.0
50.0	3719.0
