#Duplication rate	Coverage
1.0	4533.0
2.0	2842.0
3.0	1874.0
4.0	1360.0
5.0	1013.0
6.0	816.0
7.0	660.0
8.0	566.0
9.0	455.0
10.0	432.0
11.0	388.0
12.0	351.0
13.0	343.0
14.0	291.0
15.0	278.0
16.0	269.0
17.0	251.0
18.0	235.0
19.0	210.0
20.0	217.0
21.0	203.0
22.0	167.0
23.0	161.0
24.0	154.0
25.0	165.0
26.0	165.0
27.0	142.0
28.0	147.0
29.0	138.0
30.0	111.0
31.0	131.0
32.0	140.0
33.0	107.0
34.0	94.0
35.0	91.0
36.0	119.0
37.0	94.0
38.0	87.0
39.0	92.0
40.0	73.0
41.0	88.0
42.0	84.0
43.0	88.0
44.0	76.0
45.0	66.0
46.0	82.0
47.0	67.0
48.0	74.0
49.0	67.0
50.0	2008.0
