Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Platform	Collection Date	Gender	Age
32	7008876	5930209	1078667	84.61%	1424006	103785	7.29%	478.3203X	163.5345X	59.9149	38.43%	0.0008	Illumina NextSeq 500	05-2020	-	-
20	5125344	4437522	687822	86.58%	956886	1725	0.18%	7.5088X	4.548X	59.8872	38.1%	0.0011	Illumina NextSeq 500	05-2020	-	-
18	3116378	2689122	427256	86.29%	619784	1599	0.26%	6.8277X	4.439X	59.7433	37.46%	0.0009	Illumina NextSeq 500	05-2020	-	-
9	5541412	4453632	1087780	80.37%	1383897	334988	24.21%	1,538.3108X	435.776X	59.89	38.4%	0.0009	Illumina NextSeq 500	05-2020	-	-
11	7204906	5090266	2114640	70.65%	2506908	223380	8.91%	1,010.1821X	312.4965X	59.9127	38.39%	0.0009	Illumina NextSeq 500	05-2020	-	-
7	9570458	7818107	1752351	81.69%	2361018	3003	0.13%	12.0287X	11.5227X	59.6986	37.32%	0.0009	Illumina NextSeq 500	05-2020	-	-
29	6839736	5512143	1327593	80.59%	1803552	63160	3.5%	286.0285X	95.0305X	59.9119	38.3%	0.0009	Illumina NextSeq 500	05-2020	-	-
16	6393258	5516742	876516	86.29%	1304323	28247	2.17%	129.1389X	53.3937X	59.9126	38.4%	0.0009	Illumina NextSeq 500	05-2020	-	-
6	5625326	2816600	2808726	50.07%	2960201	602284	20.35%	2,642.8584X	742.959X	59.9199	38.4%	0.0013	Illumina NextSeq 500	05-2020	-	-
1	5005630	1567262	3438368	31.31%	3629955	89281	2.46%	393.7785X	117.1298X	59.9236	38.38%	0.0009	Illumina NextSeq 500	05-2020	-	-
10	4190964	3672960	518004	87.64%	805536	15522	1.93%	71.7682X	22.8235X	59.9	38.07%	0.0009	Illumina NextSeq 500	05-2020	-	-
19	7337456	6173001	1164455	84.13%	1629500	3630	0.22%	15.8074X	7.8516X	59.8975	38.17%	0.0009	Illumina NextSeq 500	05-2020	-	-
26	6391480	5412305	979175	84.68%	1383500	165928	11.99%	756.2883X	279.7293X	59.9219	38.47%	0.0009	Illumina NextSeq 500	05-2020	-	-
21	6693378	5663936	1029442	84.62%	1421903	23500	1.65%	106.2473X	37.7772X	59.9075	38.2%	0.0013	Illumina NextSeq 500	05-2020	-	-
38	6211870	3850117	2361753	61.98%	2436644	565726	23.22%	2,429.3038X	815.7151X	59.9375	38.63%	0.0011	Illumina NextSeq 500	05-2020	-	-
31	6617540	5494543	1122997	83.03%	1579728	2082	0.13%	8.6076X	7.2441X	59.7297	37.95%	0.0011	Illumina NextSeq 500	05-2020	-	-
30	6798850	5262309	1536541	77.40%	1835912	426303	23.22%	1,954.4555X	564.4412X	59.9331	38.18%	0.0008	Illumina NextSeq 500	05-2020	-	-
4	6872110	3748736	3123374	54.55%	3407631	3290	0.1%	14.1374X	7.66X	59.8269	38.2%	0.0012	Illumina NextSeq 500	05-2020	-	-
3	5153302	991495	4161807	19.24%	4252192	173572	4.08%	779.8265X	264.7723X	59.9391	38.39%	0.001	Illumina NextSeq 500	05-2020	-	-
2	7927108	6635782	1291326	83.71%	1746364	145725	8.34%	660.7085X	229.1569X	59.9193	38.34%	0.0011	Illumina NextSeq 500	05-2020	-	-
13	3787928	3262542	525386	86.13%	778071	19544	2.51%	89.0918X	32.4058X	59.9122	38.34%	0.0009	Illumina NextSeq 500	05-2020	-	-
14	4892704	4035012	857692	82.47%	1159744	51642	4.45%	239.0495X	94.8064X	59.9001	38.66%	0.001	Illumina NextSeq 500	05-2020	-	-
22	9918562	7922947	1995615	79.88%	2772193	2424	0.09%	10.6398X	6.6971X	59.8728	38.47%	0.0012	Illumina NextSeq 500	05-2020	-	-
