#Duplication rate	Coverage
1.0	4535.0
2.0	4123.0
3.0	3430.0
4.0	2614.0
5.0	2039.0
6.0	1584.0
7.0	1167.0
8.0	947.0
9.0	742.0
10.0	611.0
11.0	510.0
12.0	390.0
13.0	381.0
14.0	317.0
15.0	252.0
16.0	205.0
17.0	196.0
18.0	187.0
19.0	157.0
20.0	130.0
21.0	111.0
22.0	107.0
23.0	100.0
24.0	88.0
25.0	71.0
26.0	82.0
27.0	75.0
28.0	61.0
29.0	53.0
30.0	48.0
31.0	41.0
32.0	38.0
33.0	34.0
34.0	24.0
35.0	27.0
36.0	27.0
37.0	29.0
38.0	26.0
39.0	28.0
40.0	22.0
41.0	24.0
42.0	13.0
43.0	13.0
44.0	17.0
45.0	6.0
46.0	10.0
47.0	15.0
48.0	10.0
49.0	2.0
50.0	161.0
