#Duplication rate	Coverage
1.0	2770.0
2.0	2203.0
3.0	1740.0
4.0	1404.0
5.0	1062.0
6.0	886.0
7.0	789.0
8.0	627.0
9.0	629.0
10.0	537.0
11.0	481.0
12.0	427.0
13.0	392.0
14.0	393.0
15.0	358.0
16.0	322.0
17.0	322.0
18.0	279.0
19.0	303.0
20.0	257.0
21.0	265.0
22.0	247.0
23.0	229.0
24.0	238.0
25.0	244.0
26.0	211.0
27.0	198.0
28.0	193.0
29.0	197.0
30.0	182.0
31.0	196.0
32.0	179.0
33.0	188.0
34.0	163.0
35.0	162.0
36.0	189.0
37.0	167.0
38.0	161.0
39.0	141.0
40.0	130.0
41.0	146.0
42.0	143.0
43.0	159.0
44.0	120.0
45.0	115.0
46.0	132.0
47.0	116.0
48.0	141.0
49.0	114.0
50.0	5929.0
