#Duplication rate	Coverage
1.0	5898.0
2.0	3032.0
3.0	1599.0
4.0	1008.0
5.0	693.0
6.0	556.0
7.0	442.0
8.0	338.0
9.0	293.0
10.0	210.0
11.0	184.0
12.0	154.0
13.0	122.0
14.0	119.0
15.0	98.0
16.0	85.0
17.0	88.0
18.0	77.0
19.0	58.0
20.0	61.0
21.0	46.0
22.0	46.0
23.0	52.0
24.0	35.0
25.0	30.0
26.0	27.0
27.0	29.0
28.0	25.0
29.0	21.0
30.0	15.0
31.0	14.0
32.0	20.0
33.0	11.0
34.0	13.0
35.0	9.0
36.0	5.0
37.0	12.0
38.0	10.0
39.0	11.0
40.0	4.0
41.0	6.0
42.0	11.0
43.0	9.0
44.0	6.0
45.0	11.0
46.0	10.0
47.0	5.0
48.0	7.0
49.0	4.0
50.0	87.0
