#Duplication rate	Coverage
1.0	3988.0
2.0	2394.0
3.0	1704.0
4.0	1259.0
5.0	999.0
6.0	790.0
7.0	646.0
8.0	610.0
9.0	503.0
10.0	417.0
11.0	380.0
12.0	329.0
13.0	316.0
14.0	249.0
15.0	229.0
16.0	202.0
17.0	204.0
18.0	158.0
19.0	141.0
20.0	135.0
21.0	135.0
22.0	106.0
23.0	110.0
24.0	108.0
25.0	70.0
26.0	92.0
27.0	67.0
28.0	69.0
29.0	58.0
30.0	64.0
31.0	64.0
32.0	51.0
33.0	33.0
34.0	37.0
35.0	31.0
36.0	24.0
37.0	30.0
38.0	20.0
39.0	17.0
40.0	32.0
41.0	18.0
42.0	21.0
43.0	12.0
44.0	10.0
45.0	5.0
46.0	10.0
47.0	15.0
48.0	10.0
49.0	11.0
50.0	93.0
