#Duplication rate	Coverage
1.0	4944.0
2.0	2377.0
3.0	1316.0
4.0	830.0
5.0	586.0
6.0	474.0
7.0	363.0
8.0	274.0
9.0	253.0
10.0	223.0
11.0	211.0
12.0	176.0
13.0	159.0
14.0	145.0
15.0	134.0
16.0	120.0
17.0	115.0
18.0	112.0
19.0	105.0
20.0	89.0
21.0	88.0
22.0	95.0
23.0	92.0
24.0	80.0
25.0	78.0
26.0	82.0
27.0	80.0
28.0	61.0
29.0	80.0
30.0	55.0
31.0	59.0
32.0	62.0
33.0	60.0
34.0	51.0
35.0	57.0
36.0	57.0
37.0	65.0
38.0	55.0
39.0	42.0
40.0	39.0
41.0	43.0
42.0	56.0
43.0	47.0
44.0	43.0
45.0	43.0
46.0	52.0
47.0	40.0
48.0	46.0
49.0	44.0
50.0	1378.0
