#Duplication rate	Coverage
1.0	4062.0
2.0	1361.0
3.0	686.0
4.0	368.0
5.0	234.0
6.0	195.0
7.0	147.0
8.0	118.0
9.0	101.0
10.0	95.0
11.0	70.0
12.0	67.0
13.0	61.0
14.0	47.0
15.0	38.0
16.0	34.0
17.0	26.0
18.0	28.0
19.0	24.0
20.0	22.0
21.0	17.0
22.0	16.0
23.0	15.0
24.0	16.0
25.0	15.0
26.0	12.0
27.0	11.0
28.0	11.0
29.0	11.0
30.0	8.0
31.0	8.0
32.0	7.0
33.0	7.0
34.0	14.0
35.0	6.0
36.0	3.0
37.0	7.0
38.0	10.0
39.0	9.0
40.0	1.0
41.0	11.0
42.0	6.0
43.0	6.0
44.0	5.0
45.0	7.0
46.0	3.0
47.0	7.0
48.0	7.0
49.0	6.0
50.0	246.0
