#Duplication rate	Coverage
1.0	1885.0
2.0	1803.0
3.0	1308.0
4.0	1368.0
5.0	1127.0
6.0	1214.0
7.0	1098.0
8.0	1127.0
9.0	1025.0
10.0	945.0
11.0	928.0
12.0	831.0
13.0	816.0
14.0	673.0
15.0	682.0
16.0	581.0
17.0	602.0
18.0	542.0
19.0	480.0
20.0	496.0
21.0	374.0
22.0	384.0
23.0	354.0
24.0	301.0
25.0	312.0
26.0	268.0
27.0	238.0
28.0	235.0
29.0	222.0
30.0	200.0
31.0	184.0
32.0	155.0
33.0	155.0
34.0	140.0
35.0	135.0
36.0	126.0
37.0	121.0
38.0	108.0
39.0	87.0
40.0	95.0
41.0	97.0
42.0	70.0
43.0	68.0
44.0	67.0
45.0	52.0
46.0	60.0
47.0	62.0
48.0	64.0
49.0	46.0
50.0	1471.0
