#Duplication rate	Coverage
1.0	4365.0
2.0	2733.0
3.0	1814.0
4.0	1347.0
5.0	986.0
6.0	895.0
7.0	708.0
8.0	579.0
9.0	532.0
10.0	483.0
11.0	417.0
12.0	353.0
13.0	299.0
14.0	318.0
15.0	280.0
16.0	240.0
17.0	209.0
18.0	178.0
19.0	188.0
20.0	159.0
21.0	144.0
22.0	144.0
23.0	152.0
24.0	146.0
25.0	102.0
26.0	88.0
27.0	94.0
28.0	83.0
29.0	65.0
30.0	70.0
31.0	76.0
32.0	67.0
33.0	65.0
34.0	47.0
35.0	47.0
36.0	58.0
37.0	40.0
38.0	38.0
39.0	43.0
40.0	39.0
41.0	33.0
42.0	20.0
43.0	33.0
44.0	40.0
45.0	30.0
46.0	30.0
47.0	25.0
48.0	34.0
49.0	10.0
50.0	436.0
