#Duplication rate	Coverage
1.0	4429.0
2.0	3770.0
3.0	3122.0
4.0	2543.0
5.0	2030.0
6.0	1659.0
7.0	1311.0
8.0	1084.0
9.0	883.0
10.0	719.0
11.0	631.0
12.0	488.0
13.0	508.0
14.0	409.0
15.0	321.0
16.0	262.0
17.0	187.0
18.0	197.0
19.0	190.0
20.0	153.0
21.0	130.0
22.0	109.0
23.0	95.0
24.0	90.0
25.0	73.0
26.0	68.0
27.0	65.0
28.0	50.0
29.0	47.0
30.0	33.0
31.0	34.0
32.0	40.0
33.0	29.0
34.0	26.0
35.0	20.0
36.0	32.0
37.0	9.0
38.0	15.0
39.0	14.0
40.0	16.0
41.0	12.0
42.0	15.0
43.0	10.0
44.0	10.0
45.0	5.0
46.0	6.0
47.0	8.0
48.0	7.0
49.0	4.0
50.0	56.0
