#Coverage (X)	Coverage
1.0	100.0
2.0	100.0
3.0	100.0
4.0	100.0
5.0	100.0
6.0	100.0
7.0	100.0
8.0	100.0
9.0	100.0
10.0	100.0
11.0	100.0
12.0	100.0
13.0	100.0
14.0	100.0
15.0	100.0
16.0	100.0
17.0	100.0
18.0	100.0
19.0	100.0
20.0	100.0
21.0	100.0
22.0	100.0
23.0	100.0
24.0	100.0
25.0	100.0
26.0	100.0
27.0	100.0
28.0	99.9966558539277
29.0	99.9966558539277
30.0	99.9966558539277
31.0	99.9966558539277
32.0	99.9966558539277
33.0	99.9966558539277
34.0	99.9966558539277
35.0	99.9966558539277
36.0	99.9966558539277
37.0	99.9966558539277
38.0	99.9966558539277
39.0	99.9966558539277
40.0	99.9966558539277
41.0	99.9966558539277
42.0	99.9966558539277
43.0	99.9966558539277
44.0	99.9966558539277
45.0	99.9966558539277
46.0	99.9966558539277
47.0	99.9966558539277
48.0	99.9966558539277
49.0	99.9966558539277
50.0	99.9966558539277
51.0	99.9966558539277
