#Duplication rate	Coverage
1.0	4662.0
2.0	2441.0
3.0	1652.0
4.0	1142.0
5.0	820.0
6.0	625.0
7.0	495.0
8.0	388.0
9.0	326.0
10.0	286.0
11.0	254.0
12.0	181.0
13.0	184.0
14.0	146.0
15.0	131.0
16.0	116.0
17.0	92.0
18.0	87.0
19.0	78.0
20.0	81.0
21.0	80.0
22.0	62.0
23.0	52.0
24.0	61.0
25.0	47.0
26.0	46.0
27.0	38.0
28.0	41.0
29.0	31.0
30.0	36.0
31.0	20.0
32.0	30.0
33.0	30.0
34.0	22.0
35.0	22.0
36.0	16.0
37.0	17.0
38.0	15.0
39.0	17.0
40.0	15.0
41.0	13.0
42.0	14.0
43.0	14.0
44.0	8.0
45.0	8.0
46.0	10.0
47.0	6.0
48.0	9.0
49.0	12.0
50.0	173.0
